iter	Passed	Remaining
448	1093	1341
449	1095	1338
450	1096	1335
451	1099	1332
452	1100	1329
453	1102	1326
454	1104	1322
455	1106	1319
456	1107	1316
457	1109	1312
458	1111	1309
459	1114	1307
460	1117	1306
461	1119	1304
462	1121	1301
463	1123	1298
464	1125	1294
465	1127	1292
466	1130	1290
467	1133	1288
468	1135	1285
469	1136	1282
470	1138	1278
471	1140	1275
472	1143	1273
473	1145	1271
474	1147	1267
475	1149	1265
476	1151	1262
477	1152	1258
478	1154	1256
479	1157	1253
480	1159	1251
481	1162	1249
482	1165	1247
483	1166	1243
484	1168	1240
485	1170	1237
486	1172	1234
487	1174	1232
488	1177	1230
489	1179	1227
490	1181	1224
491	1183	1221
492	1184	1218
493	1186	1215
494	1192	1216
495	1194	1213
496	1196	1210
497	1197	1207
498	1199	1204
499	1200	1200
500	1204	1199
501	1205	1196
502	1207	1193
503	1210	1190
504	1211	1187
505	1213	1184
506	1215	1181
507	1217	1179
508	1220	1177
509	1222	1174
510	1225	1172
511	1227	1169
512	1229	1167
513	1232	1165
514	1235	1163
515	1238	1161
516	1240	1158
517	1241	1155
518	1243	1152
519	1245	1149
520	1248	1147
521	1250	1144
522	1251	1141
523	1253	1138
524	1256	1136
525	1258	1133
526	1259	1130
527	1262	1128
528	1264	1125
529	1266	1123
530	1268	1120
531	1269	1117
532	1271	1113
533	1272	1110
534	1274	1107
535	1276	1105
536	1278	1102
537	1280	1099
538	1282	1096
539	1283	1093
540	1285	1090
541	1287	1087
542	1289	1085
543	1292	1083
544	1296	1082
545	1297	1079
546	1299	1076
547	1301	1073
548	1302	1070
549	1304	1067
550	1306	1064
551	1308	1061
552	1311	1060
553	1313	1057
554	1315	1054
555	1317	1051
556	1318	1048
557	1320	1045
558	1322	1043
559	1324	1040
560	1326	1037
561	1328	1035
562	1330	1032
563	1331	1029
564	1333	1026
565	1334	1023
566	1336	1020
567	1339	1018
568	1341	1015
569	1342	1012
570	1344	1010
571	1346	1007
572	1348	1005
573	1350	1002
574	1352	999
575	1354	996
576	1355	993
577	1358	991
578	1360	988
579	1362	986
580	1363	983
581	1365	980
582	1367	978
583	1369	975
584	1371	972
585	1373	970
586	1374	967
587	1376	964
588	1377	961
589	1379	958
590	1380	955
591	1383	953
592	1385	950
593	1387	948
594	1389	945
595	1390	942
596	1392	939
597	1393	936
598	1395	934
599	1397	931
600	1399	929
601	1401	926
602	1403	924
603	1405	921
604	1406	918
605	1408	915
606	1409	912
607	1410	909
608	1412	907
609	1414	904
610	1417	902
611	1419	899
612	1420	897
613	1422	894
614	1424	891
615	1425	888
616	1427	886
617	1430	884
618	1432	881
619	1434	879
620	1436	876
621	1438	874
622	1440	871
623	1442	869
624	1444	866
625	1446	864
626	1448	861
627	1450	859
628	1452	856
629	1454	854
630	1456	851
631	1458	849
632	1460	846
633	1461	843
634	1463	841
635	1464	838
636	1466	835
637	1469	833
638	1471	831
639	1472	828
640	1474	825
641	1475	823
642	1477	820
643	1480	818
644	1482	815
645	1484	813
646	1486	810
647	1488	808
648	1490	805
649	1491	803
650	1493	800
651	1494	797
652	1496	795
653	1498	792
654	1500	790
655	1503	788
656	1504	785
657	1506	783
658	1508	780
659	1509	777
660	1511	775
661	1514	773
662	1515	770
663	1517	767
664	1519	765
665	1520	762
666	1522	760
667	1524	757
668	1526	755
669	1529	753
670	1531	750
671	1533	748
672	1535	746
673	1537	743
674	1539	741
675	1541	738
676	1543	736
677	1545	734
678	1547	731
679	1549	729
680	1551	726
681	1553	724
682	1554	721
683	1557	719
684	1559	717
685	1561	714
686	1563	712
687	1565	709
688	1566	707
689	1568	704
690	1569	702
691	1571	699
692	1574	697
693	1576	694
694	1577	692
695	1579	689
696	1581	687
697	1583	684
698	1584	682
699	1586	679
700	1587	677
701	1590	674
702	1592	672
703	1594	670
704	1595	667
705	1597	665
706	1598	662
707	1601	660
708	1602	657
709	1604	655
710	1606	652
711	1608	650
712	1610	648
713	1611	645
714	1613	643
715	1615	640
716	1617	638
717	1619	636
718	1621	633
719	1623	631
720	1624	628
721	1626	626
722	1628	624
723	1630	621
724	1632	619
725	1634	616
726	1636	614
727	1638	612
728	1639	609
729	1641	607
730	1642	604
731	1644	602
732	1646	599
733	1647	597
734	1649	594
735	1651	592
736	1654	590
737	1656	588
738	1658	585
739	1660	583
740	1663	581
741	1664	578
742	1666	576
743	1668	573
744	1670	571
745	1672	569
746	1674	567
747	1676	564
748	1678	562
749	1681	560
750	1683	558
751	1684	555
752	1686	553
753	1688	550
754	1690	548
755	1693	546
756	1695	544
757	1697	541
758	1698	539
759	1700	537
760	1702	534
761	1703	532
762	1705	529
763	1707	527
764	1709	525
765	1711	522
766	1713	520
767	1715	518
768	1716	515
769	1718	513
770	1720	511
771	1722	508
772	1724	506
773	1726	504
774	1728	501
775	1729	499
776	1731	496
777	1732	494
778	1734	492
779	1737	489
780	1739	487
781	1741	485
782	1742	483
783	1744	480
784	1746	478
785	1747	475
786	1749	473
787	1750	471
788	1755	469
789	1757	467
790	1758	464
791	1760	462
792	1761	459
793	1763	457
794	1765	455
795	1767	453
796	1769	450
797	1771	448
798	1773	446
799	1775	443
800	1776	441
801	1779	439
802	1781	436
803	1783	434
804	1785	432
805	1787	430
806	1789	427
807	1790	425
808	1792	423
809	1794	420
810	1796	418
811	1798	416
812	1800	414
813	1802	411
814	1803	409
815	1805	407
816	1807	404
817	1809	402
818	1811	400
819	1814	398
820	1816	396
821	1818	393
822	1819	391
823	1821	389
824	1823	386
825	1829	385
826	1831	383
827	1833	380
828	1835	378
829	1836	376
830	1838	373
831	1839	371
832	1842	369
833	1844	367
834	1846	364
835	1848	362
836	1849	360
837	1851	357
838	1853	355
839	1855	353
840	1857	351
841	1859	349
842	1861	346
843	1862	344
844	1864	341
845	1865	339
846	1868	337
847	1869	335
848	1871	332
849	1874	330
850	1875	328
851	1877	326
852	1879	323
853	1881	321
854	1882	319
855	1884	317
856	1887	314
857	1888	312
858	1890	310
859	1891	307
860	1893	305
861	1894	303
862	1896	301
863	1899	298
864	1901	296
865	1903	294
866	1905	292
867	1906	289
868	1908	287
869	1909	285
870	1912	283
871	1914	281
872	1917	278
873	1918	276
874	1920	274
875	1922	272
876	1924	269
877	1926	267
878	1928	265
879	1930	263
880	1932	261
881	1934	258
882	1935	256
883	1937	254
884	1938	251
885	1941	249
886	1943	247
887	1945	245
888	1947	243
889	1949	241
890	1951	238
891	1953	236
892	1954	234
893	1956	232
894	1958	229
895	1961	227
896	1963	225
897	1964	223
898	1966	220
899	1968	218
900	1969	216
901	1971	214
902	1973	211
903	1975	209
904	1978	207
905	1980	205
906	1982	203
907	1983	201
908	1985	198
909	1987	196
910	1990	194
911	1993	192
912	1994	190
913	1996	187
914	1998	185
915	2000	183
916	2002	181
917	2004	179
918	2006	176
919	2008	174
920	2010	172
921	2012	170
922	2013	167
923	2015	165
924	2017	163
925	2020	161
926	2022	159
927	2023	157
928	2025	154
929	2027	152
930	2029	150
931	2031	148
932	2033	145
933	2034	143
934	2036	141
935	2038	139
936	2040	137
937	2041	134
938	2043	132
939	2045	130
940	2047	128
941	2049	126
942	2051	123
943	2054	121
944	2056	119
945	2057	117
946	2059	115
947	2061	113
948	2063	110
949	2065	108
950	2067	106
951	2069	104
952	2071	102
953	2074	100
954	2076	97
955	2078	95
956	2080	93
957	2081	91
958	2083	89
959	2086	86
960	2088	84
961	2091	82
962	2093	80
963	2094	78
964	2096	76
965	2099	73
966	2101	71
967	2102	69
968	2104	67
969	2106	65
970	2109	62
971	2111	60
972	2113	58
973	2115	56
974	2117	54
975	2118	52
976	2120	49
977	2122	47
978	2125	45
979	2128	43
980	2130	41
981	2131	39
982	2133	36
983	2135	34
984	2137	32
985	2139	30
986	2141	28
987	2143	26
988	2145	23
989	2146	21
990	2147	19
991	2149	17
992	2152	15
993	2154	13
994	2155	10
995	2157	8
996	2158	6
997	2160	4
998	2162	2
999	2165	0
